g_x: 0, g_y: 2144, g_z: -98, roll: 0.642487667332, pitch: -1.05497351684, yaw: 72.0140380423, addr: fc43, time[s]: 1789.83, roll_offset: 0.642487667332, pitch_offset: -1.05497351684
g_x: -6, g_y: 2151, g_z: -111, roll: 0.625779050271, pitch: -1.12246923278, yaw: 72.0099330986, addr: fc43, time[s]: 1790.29, roll_offset: 0.642487667332, pitch_offset: -1.05497351684
g_x: -176, g_y: 2061, g_z: 387, roll: 5.19183468201, pitch: 10.566140429, yaw: 32.7595167878, addr: dcd5, time[s]: 1788.49, roll_offset: 5.19183468201, pitch_offset: 10.566140429
g_x: 96, g_y: 2045, g_z: 416, roll: -2.8563010142, pitch: 11.5558519152, yaw: 3.4796174611, addr: db2f, time[s]: 1787.07, roll_offset: -2.8563010142, pitch_offset: 11.5558519152
g_x: -6, g_y: 2151, g_z: -111, roll: 0.625779050271, pitch: -1.12246923278, yaw: 72.0099330986, addr: fc43, time[s]: 1790.29, roll_offset: 0.642487667332, pitch_offset: -1.05497351684
g_x: -3, g_y: 2143, g_z: -91, roll: 0.700858784144, pitch: -0.839765461872, yaw: 72.0186552502, addr: fc43, time[s]: 1788.22, roll_offset: 0.642487667332, pitch_offset: -1.05497351684
g_x: -9, g_y: 2144, g_z: -105, roll: 1.03876857287, pitch: 0.414520605551, yaw: 72.0421784217, addr: fc43, time[s]: 1781.62, roll_offset: 0.642487667332, pitch_offset: -1.05497351684
g_x: -185, g_y: 2054, g_z: 379, roll: 5.21110392632, pitch: 10.5606276126, yaw: 32.7401736921, addr: dcd5, time[s]: 1792.59, roll_offset: 5.19183468201, pitch_offset: 10.566140429
g_x: -180, g_y: 2064, g_z: 377, roll: 5.20454822538, pitch: 10.5638523156, yaw: 32.7492271078, addr: dcd5, time[s]: 1792.13, roll_offset: 5.19183468201, pitch_offset: 10.566140429
g_x: -185, g_y: 2071, g_z: 380, roll: 5.19678059274, pitch: 10.5689911792, yaw: 32.7577955802, addr: dcd5, time[s]: 1790.06, roll_offset: 5.19183468201, pitch_offset: 10.566140429
g_x: -4, g_y: 2127, g_z: -101, roll: 0.565760630569, pitch: -1.40915350986, yaw: 72.0024335509, addr: fc43, time[s]: 1792.82, roll_offset: 0.642487667332, pitch_offset: -1.05497351684
g_x: 466, g_y: 2223, g_z: -195, roll: -11.8137163158, pitch: -4.42426698771, yaw: -36.9431886545, addr: dcb2, time[s]: 1793.74, roll_offset: -11.8137163158, pitch_offset: -4.42426698771
g_x: -189, g_y: 2059, g_z: 393, roll: 5.21175023297, pitch: 10.5679196933, yaw: 32.737680673, addr: dcd5, time[s]: 1793.05, roll_offset: 5.19183468201, pitch_offset: 10.566140429
g_x: -191, g_y: 2062, g_z: 380, roll: 5.21364731801, pitch: 10.560750556, yaw: 32.7318203707, addr: dcd5, time[s]: 1793.52, roll_offset: 5.19183468201, pitch_offset: 10.566140429
g_x: 68, g_y: 2064, g_z: 246, roll: -1.76002054097, pitch: 6.77649107653, yaw: -44.5882672038, addr: db37, time[s]: 1794.2, roll_offset: -1.76002054097, pitch_offset: 6.77649107653
g_x: -184, g_y: 2067, g_z: 394, roll: 5.21187061505, pitch: 10.5602195088, yaw: 32.7235524267, addr: dcd5, time[s]: 1794.02, roll_offset: 5.19183468201, pitch_offset: 10.566140429
g_x: -8, g_y: 2143, g_z: -102, roll: 0.539483825615, pitch: -1.51301859574, yaw: 72.0147893631, addr: fc43, time[s]: 1793.74, roll_offset: 0.642487667332, pitch_offset: -1.05497351684
g_x: 468, g_y: 2220, g_z: -174, roll: -11.8135771507, pitch: -4.42830661771, yaw: -36.9334556349, addr: dcb2, time[s]: 1794.66, roll_offset: -11.8137163158, pitch_offset: -4.42426698771
g_x: -10, g_y: 2142, g_z: -103, roll: 0.515022783763, pitch: -1.60913632612, yaw: 72.0185186464, addr: fc43, time[s]: 1794.71, roll_offset: 0.642487667332, pitch_offset: -1.05497351684
g_x: 466, g_y: 2232, g_z: -170, roll: -11.8233699344, pitch: -4.42230800408, yaw: -36.9277319364, addr: dcb2, time[s]: 1795.15, roll_offset: -11.8137163158, pitch_offset: -4.42426698771
g_x: 59, g_y: 2067, g_z: 253, roll: -1.75907946897, pitch: 6.77709768271, yaw: -44.5861054489, addr: db37, time[s]: 1794.66, roll_offset: -1.76002054097, pitch_offset: 6.77649107653
g_x: -9, g_y: 2140, g_z: -96, roll: 0.488631839944, pitch: -1.68963565501, yaw: 72.0269744206, addr: fc43, time[s]: 1795.81, roll_offset: 0.642487667332, pitch_offset: -1.05497351684
g_x: 469, g_y: 2224, g_z: -175, roll: -11.8266287885, pitch: -4.40847174836, yaw: -36.9285174081, addr: dcb2, time[s]: 1797.19, roll_offset: -11.8137163158, pitch_offset: -4.42426698771
g_x: 237, g_y: 2056, g_z: 487, roll: -6.50267391535, pitch: 12.9790353807, yaw: -21.7358100335, addr: dcb9, time[s]: 1797.42, roll_offset: -6.50267391535, pitch_offset: 12.9790353807
