g_x: 342, g_y: 2140, g_z: 89, roll: -9.09944865854, pitch: 1.92333559339, yaw: -26.2901289456, addr: fc43, time[s]: 221.56, roll_offset: -9.09944865854, pitch_offset: 1.92333559339
g_x: 337, g_y: 2131, g_z: 69, roll: -9.36589348429, pitch: 1.70806350539, yaw: -26.1530726622, addr: fc43, time[s]: 226.6, roll_offset: -9.09944865854, pitch_offset: 1.92333559339
g_x: 332, g_y: 2127, g_z: 89, roll: -9.26461629305, pitch: 2.08254772983, yaw: -25.9810253196, addr: fc43, time[s]: 231.62, roll_offset: -9.09944865854, pitch_offset: 1.92333559339
g_x: 333, g_y: 2128, g_z: 77, roll: -9.26624187807, pitch: 2.08727379384, yaw: -25.8383819415, addr: fc43, time[s]: 236.66, roll_offset: -9.09944865854, pitch_offset: 1.92333559339
g_x: 333, g_y: 2125, g_z: 72, roll: -9.29770685203, pitch: 1.80969575975, yaw: -25.8473773006, addr: fc43, time[s]: 241.7, roll_offset: -9.09944865854, pitch_offset: 1.92333559339
g_x: 336, g_y: 2132, g_z: 87, roll: -9.09804505466, pitch: 1.98058730623, yaw: -25.8051428259, addr: fc43, time[s]: 246.76, roll_offset: -9.09944865854, pitch_offset: 1.92333559339
g_x: 333, g_y: 2137, g_z: 87, roll: -9.09552556863, pitch: 1.88138990759, yaw: -25.825834884, addr: fc43, time[s]: 251.82, roll_offset: -9.09944865854, pitch_offset: 1.92333559339
g_x: 341, g_y: 2126, g_z: 83, roll: -9.01661383183, pitch: 2.00124414615, yaw: -25.8013725614, addr: fc43, time[s]: 256.77, roll_offset: -9.09944865854, pitch_offset: 1.92333559339
g_x: 322, g_y: 2133, g_z: 82, roll: -8.96628899803, pitch: 2.0799210952, yaw: -25.8001328821, addr: fc43, time[s]: 261.81, roll_offset: -9.09944865854, pitch_offset: 1.92333559339
g_x: 330, g_y: 2134, g_z: 87, roll: -8.92647924045, pitch: 2.13224034424, yaw: -25.7916549098, addr: fc43, time[s]: 266.83, roll_offset: -9.09944865854, pitch_offset: 1.92333559339
g_x: 332, g_y: 2130, g_z: 90, roll: -8.86354758498, pitch: 2.18214490797, yaw: -25.774058635, addr: fc43, time[s]: 271.87, roll_offset: -9.09944865854, pitch_offset: 1.92333559339
g_x: 336, g_y: 2131, g_z: 86, roll: -8.84361709298, pitch: 2.20771713622, yaw: -25.7787253617, addr: fc43, time[s]: 276.9, roll_offset: -9.09944865854, pitch_offset: 1.92333559339
g_x: 1531, g_y: 1415, g_z: -684, roll: -48.9288934025, pitch: 5.98353087333, yaw: 44.8694353561, addr: dcd5, time[s]: 277.58, roll_offset: -48.9288934025, pitch_offset: 5.98353087333
g_x: 331, g_y: 2128, g_z: 87, roll: -8.83473272442, pitch: 2.22087357467, yaw: -25.7682341911, addr: fc43, time[s]: 281.95, roll_offset: -9.09944865854, pitch_offset: 1.92333559339
g_x: 1529, g_y: 1416, g_z: -679, roll: -47.9383827841, pitch: -3.43339052736, yaw: 44.7131469675, addr: dcd5, time[s]: 282.64, roll_offset: -48.9288934025, pitch_offset: 5.98353087333
g_x: 334, g_y: 2126, g_z: 89, roll: -8.82441657745, pitch: 2.23271135972, yaw: -25.7400169721, addr: fc43, time[s]: 287.01, roll_offset: -9.09944865854, pitch_offset: 1.92333559339
g_x: 1538, g_y: 1422, g_z: -683, roll: -47.2817830388, pitch: -9.20630867565, yaw: 44.4806712338, addr: dcd5, time[s]: 287.58, roll_offset: -48.9288934025, pitch_offset: 5.98353087333
g_x: 344, g_y: 2133, g_z: 75, roll: -8.81311261438, pitch: 2.21337167908, yaw: -25.7147862533, addr: fc43, time[s]: 292.07, roll_offset: -9.09944865854, pitch_offset: 1.92333559339
g_x: 1542, g_y: 1420, g_z: -675, roll: -46.8065418915, pitch: -12.6872377465, yaw: 44.3601354704, addr: dcd5, time[s]: 292.61, roll_offset: -48.9288934025, pitch_offset: 5.98353087333
g_x: 342, g_y: 2134, g_z: 80, roll: -8.80002938702, pitch: 2.21842431152, yaw: -25.706198998, addr: fc43, time[s]: 297.13, roll_offset: -9.09944865854, pitch_offset: 1.92333559339
g_x: 1530, g_y: 1423, g_z: -673, roll: -46.54399625, pitch: -14.7609096455, yaw: 44.2992135981, addr: dcd5, time[s]: 297.64, roll_offset: -48.9288934025, pitch_offset: 5.98353087333
g_x: 337, g_y: 2124, g_z: 77, roll: -8.9392158357, pitch: 2.08192596917, yaw: -25.5913203388, addr: fc43, time[s]: 302.05, roll_offset: -9.09944865854, pitch_offset: 1.92333559339
g_x: 1546, g_y: 1404, g_z: -689, roll: -46.3258024418, pitch: -16.0070793671, yaw: 44.1755530232, addr: dcd5, time[s]: 302.68, roll_offset: -48.9288934025, pitch_offset: 5.98353087333
g_x: 335, g_y: 2133, g_z: 66, roll: -8.84204700325, pitch: 2.19689235361, yaw: -25.6882560911, addr: fc43, time[s]: 307.09, roll_offset: -9.09944865854, pitch_offset: 1.92333559339
g_x: 1531, g_y: 1413, g_z: -687, roll: -46.2456809078, pitch: -16.8043946697, yaw: 44.2403851788, addr: dcd5, time[s]: 307.71, roll_offset: -48.9288934025, pitch_offset: 5.98353087333
g_x: 339, g_y: 2125, g_z: 90, roll: -8.91629457462, pitch: 2.17923119196, yaw: -25.6377656252, addr: fc43, time[s]: 312.11, roll_offset: -9.09944865854, pitch_offset: 1.92333559339
g_x: 1401, g_y: 1033, g_z: -1239, roll: -48.6150906063, pitch: -22.0328156869, yaw: -17.6927393184, addr: dcb9, time[s]: 312.31, roll_offset: -48.6150906063, pitch_offset: -22.0328156869
g_x: -1672, g_y: 1163, g_z: 72, roll: 40.4617571903, pitch: 7.81529198608, yaw: 45.8252998398, addr: db4a, time[s]: 312.54, roll_offset: 40.4617571903, pitch_offset: 7.81529198608
g_x: 1534, g_y: 1417, g_z: -677, roll: -46.1876174696, pitch: -17.282016138, yaw: 44.2728695585, addr: dcd5, time[s]: 312.77, roll_offset: -48.9288934025, pitch_offset: 5.98353087333
g_x: 338, g_y: 2131, g_z: 82, roll: -8.91655070672, pitch: 2.18019766373, yaw: -25.6075949721, addr: fc43, time[s]: 317.15, roll_offset: -9.09944865854, pitch_offset: 1.92333559339
g_x: 1397, g_y: 1029, g_z: -1253, roll: -50.46728423, pitch: -27.2891329042, yaw: -17.0257149969, addr: dcb9, time[s]: 317.37, roll_offset: -48.6150906063, pitch_offset: -22.0328156869
g_x: -1662, g_y: 1154, g_z: 81, roll: 43.4705921235, pitch: 5.75604032396, yaw: 46.7595980013, addr: db4a, time[s]: 317.6, roll_offset: 40.4617571903, pitch_offset: 7.81529198608
g_x: 1532, g_y: 1416, g_z: -687, roll: -46.1495869763, pitch: -17.5741621118, yaw: 44.3527144699, addr: dcd5, time[s]: 317.83, roll_offset: -48.9288934025, pitch_offset: 5.98353087333
g_x: 328, g_y: 2126, g_z: 79, roll: -8.86944886843, pitch: 2.19746096686, yaw: -25.5729949413, addr: fc43, time[s]: 322.2, roll_offset: -9.09944865854, pitch_offset: 1.92333559339
g_x: 1406, g_y: 1032, g_z: -1240, roll: -51.6359330121, pitch: -30.4768402464, yaw: -16.4863537412, addr: dcb9, time[s]: 322.43, roll_offset: -48.6150906063, pitch_offset: -22.0328156869
g_x: -1666, g_y: 1150, g_z: 81, roll: 48.6151657384, pitch: 4.44590673454, yaw: 47.1320618771, addr: db4a, time[s]: 322.66, roll_offset: 40.4617571903, pitch_offset: 7.81529198608
g_x: 1746, g_y: 1352, g_z: 773, roll: -58.8714563433, pitch: 20.6069402731, yaw: 26.6986750033, addr: dcd5, time[s]: 322.89, roll_offset: -48.9288934025, pitch_offset: 5.98353087333
g_x: 340, g_y: 2126, g_z: 76, roll: -8.89212253515, pitch: 2.19987351774, yaw: -25.5328675799, addr: fc43, time[s]: 327.26, roll_offset: -9.09944865854, pitch_offset: 1.92333559339
g_x: 1405, g_y: 1027, g_z: -1252, roll: -52.4048005767, pitch: -32.5115331096, yaw: -16.1180682336, addr: dcb9, time[s]: 327.49, roll_offset: -48.6150906063, pitch_offset: -22.0328156869
g_x: -1673, g_y: 1150, g_z: 74, roll: 51.2881671003, pitch: 3.58946205744, yaw: 47.3308169669, addr: db4a, time[s]: 327.6, roll_offset: 40.4617571903, pitch_offset: 7.81529198608
g_x: -642, g_y: -4596, g_z: 1052, roll: 1.96167131076, pitch: -0.0956367289752, yaw: -0.969691988307, addr: dcd5, time[s]: 327.76, roll_offset: -48.9288934025, pitch_offset: 5.98353087333
g_x: 330, g_y: 2132, g_z: 84, roll: -8.88175260044, pitch: 2.21705848713, yaw: -25.5202078243, addr: fc43, time[s]: 332.32, roll_offset: -9.09944865854, pitch_offset: 1.92333559339
g_x: 1416, g_y: 1032, g_z: -1258, roll: -52.8634853456, pitch: -33.7369271033, yaw: -15.8603549509, addr: dcb9, time[s]: 332.42, roll_offset: -48.6150906063, pitch_offset: -22.0328156869
g_x: -1668, g_y: 1145, g_z: 70, roll: 52.8628535531, pitch: 3.05602897902, yaw: 47.4495495603, addr: db4a, time[s]: 332.62, roll_offset: 40.4617571903, pitch_offset: 7.81529198608
g_x: 338, g_y: 2129, g_z: 80, roll: -8.86007784888, pitch: 2.19466400439, yaw: -25.4882698597, addr: fc43, time[s]: 337.26, roll_offset: -9.09944865854, pitch_offset: 1.92333559339
g_x: 1406, g_y: 1032, g_z: -1260, roll: -53.1251020813, pitch: -34.4762984961, yaw: -15.7075704494, addr: dcb9, time[s]: 337.46, roll_offset: -48.6150906063, pitch_offset: -22.0328156869
g_x: -1677, g_y: 1150, g_z: 78, roll: 53.9228852519, pitch: 2.66932565288, yaw: 47.4576843156, addr: db4a, time[s]: 337.66, roll_offset: 40.4617571903, pitch_offset: 7.81529198608
g_x: 3, g_y: 20957, g_z: -2864, roll: 14.6737120355, pitch: 0.568071689108, yaw: -4.46537789632, addr: dccb, time[s]: 341.38, roll_offset: 14.6737120355, pitch_offset: 0.568071689108
g_x: 335, g_y: 2130, g_z: 87, roll: -8.828552257, pitch: 2.23392948127, yaw: -25.457754282, addr: fc43, time[s]: 342.3, roll_offset: -9.09944865854, pitch_offset: 1.92333559339
g_x: 1406, g_y: 1032, g_z: -1258, roll: -53.3069046416, pitch: -34.9275793398, yaw: -15.5926251958, addr: dcb9, time[s]: 342.49, roll_offset: -48.6150906063, pitch_offset: -22.0328156869
g_x: -1675, g_y: 1128, g_z: 74, roll: 54.6084142634, pitch: 2.43130871479, yaw: 47.5286363207, addr: db4a, time[s]: 342.68, roll_offset: 40.4617571903, pitch_offset: 7.81529198608
g_x: -1538, g_y: 31827, g_z: 2048, roll: 52.990776166, pitch: -0.551008329096, yaw: -0.133051471382, addr: dcd5, time[s]: 342.9, roll_offset: -48.9288934025, pitch_offset: 5.98353087333
g_x: -4, g_y: 5178, g_z: -2818, roll: 14.590778171, pitch: 0.576105378954, yaw: -4.4978076345, addr: dccb, time[s]: 346.42, roll_offset: 14.6737120355, pitch_offset: 0.568071689108
g_x: 335, g_y: 2129, g_z: 70, roll: -8.81963117617, pitch: 2.24010439917, yaw: -25.4217489398, addr: fc43, time[s]: 347.32, roll_offset: -9.09944865854, pitch_offset: 1.92333559339
g_x: 1405, g_y: 1032, g_z: -1258, roll: -53.4236120839, pitch: -35.2216907006, yaw: -15.5195080208, addr: dcb9, time[s]: 347.52, roll_offset: -48.6150906063, pitch_offset: -22.0328156869
g_x: -1683, g_y: 1134, g_z: 78, roll: 55.0774672594, pitch: 2.23415765228, yaw: 47.6351462906, addr: db4a, time[s]: 347.73, roll_offset: 40.4617571903, pitch_offset: 7.81529198608
g_x: -1418, g_y: 24863, g_z: 2284, roll: 48.6851922529, pitch: -1.00286749777, yaw: 0.179473985994, addr: dcd5, time[s]: 347.96, roll_offset: -48.9288934025, pitch_offset: 5.98353087333
g_x: -6, g_y: 25312, g_z: -2795, roll: 14.535030167, pitch: 0.583363628886, yaw: -4.46000808697, addr: dccb, time[s]: 351.45, roll_offset: 14.6737120355, pitch_offset: 0.568071689108
g_x: 329, g_y: 2125, g_z: 87, roll: -8.84804732444, pitch: 2.22108488365, yaw: -25.4033689008, addr: fc43, time[s]: 352.36, roll_offset: -9.09944865854, pitch_offset: 1.92333559339
g_x: 1395, g_y: 1029, g_z: -1259, roll: -53.5108609204, pitch: -35.3910725618, yaw: -15.4501474498, addr: dcb9, time[s]: 352.56, roll_offset: -48.6150906063, pitch_offset: -22.0328156869
g_x: -1686, g_y: 1125, g_z: 63, roll: 55.4514030409, pitch: 2.14086580595, yaw: 47.7631816017, addr: db4a, time[s]: 352.79, roll_offset: 40.4617571903, pitch_offset: 7.81529198608
g_x: 689, g_y: -8664, g_z: 1573, roll: -32.4005493658, pitch: 0.255367699658, yaw: -0.381708270056, addr: dcd5, time[s]: 353.02, roll_offset: -48.9288934025, pitch_offset: 5.98353087333
g_x: -477, g_y: -1813, g_z: -631, roll: -14.9703232455, pitch: -19.3518503244, yaw: 2.61606127641, addr: dccb, time[s]: 356.54, roll_offset: 14.6737120355, pitch_offset: 0.568071689108
g_x: 327, g_y: 2133, g_z: 78, roll: -8.85557163158, pitch: 2.22316168804, yaw: -25.3951436455, addr: fc43, time[s]: 357.39, roll_offset: -9.09944865854, pitch_offset: 1.92333559339
g_x: 1406, g_y: 1029, g_z: -1256, roll: -53.556449018, pitch: -35.480551455, yaw: -15.3897480869, addr: dcb9, time[s]: 357.62, roll_offset: -48.6150906063, pitch_offset: -22.0328156869
g_x: -1685, g_y: 1122, g_z: 55, roll: 55.7235690039, pitch: 2.08145425923, yaw: 47.8624720617, addr: db4a, time[s]: 357.85, roll_offset: 40.4617571903, pitch_offset: 7.81529198608
g_x: -757, g_y: 240, g_z: 1897, roll: 50.6700383955, pitch: 0.257830623184, yaw: 0.130786783425, addr: dcd5, time[s]: 357.95, roll_offset: -48.9288934025, pitch_offset: 5.98353087333
g_x: 3, g_y: 13143, g_z: -2762, roll: 14.4239900741, pitch: 0.573664653542, yaw: -4.53106766755, addr: dccb, time[s]: 361.53, roll_offset: 14.6737120355, pitch_offset: 0.568071689108
g_x: 332, g_y: 2126, g_z: 78, roll: -8.87047766567, pitch: 2.23650510292, yaw: -25.3792941915, addr: fc43, time[s]: 362.45, roll_offset: -9.09944865854, pitch_offset: 1.92333559339
g_x: 1412, g_y: 1026, g_z: -1246, roll: -53.5220658457, pitch: -35.5732507824, yaw: -15.4096563808, addr: dcb9, time[s]: 362.68, roll_offset: -48.6150906063, pitch_offset: -22.0328156869
g_x: -1684, g_y: 1110, g_z: 67, roll: 55.9165423385, pitch: 2.02784367755, yaw: 47.9223181792, addr: db4a, time[s]: 362.91, roll_offset: 40.4617571903, pitch_offset: 7.81529198608
g_x: 1185, g_y: 343, g_z: 1638, roll: -77.2893483082, pitch: 52.8092946247, yaw: -67.3311647247, addr: dcd5, time[s]: 363.14, roll_offset: -48.9288934025, pitch_offset: 5.98353087333
g_x: 9, g_y: -13827, g_z: -2752, roll: 14.3731222403, pitch: 0.565439078069, yaw: -4.53874437329, addr: dccb, time[s]: 366.59, roll_offset: 14.6737120355, pitch_offset: 0.568071689108
g_x: 333, g_y: 2132, g_z: 87, roll: -8.86239669811, pitch: 2.2031223399, yaw: -25.3898502489, addr: fc43, time[s]: 367.51, roll_offset: -9.09944865854, pitch_offset: 1.92333559339
g_x: 1404, g_y: 1029, g_z: -1244, roll: -53.5339742805, pitch: -35.620713767, yaw: -15.407298258, addr: dcb9, time[s]: 367.74, roll_offset: -48.6150906063, pitch_offset: -22.0328156869
g_x: -1686, g_y: 1113, g_z: 74, roll: 56.123449259, pitch: 2.00864230824, yaw: 47.9784076927, addr: db4a, time[s]: 367.84, roll_offset: 40.4617571903, pitch_offset: 7.81529198608
g_x: -3649, g_y: 26318, g_z: 1188, roll: 36.3009323064, pitch: -4.77341387836, yaw: -4.32848553743, addr: dcd5, time[s]: 368.01, roll_offset: -48.9288934025, pitch_offset: 5.98353087333
