g_x: -28, g_y: -9978, g_z: -220, roll: 2.91897269559, pitch: -0.0701030672791, yaw: 0.0052109073983, addr: dccb, time[s]: 582.86, roll_offset: 2.91897269559, pitch_offset: -0.0701030672791
g_x: 452, g_y: 2082, g_z: 255, roll: -11.3847377473, pitch: 8.2293918413, yaw: 87.9838467747, addr: db2f, time[s]: 582.9, roll_offset: -11.3847377473, pitch_offset: 8.2293918413
g_x: 326, g_y: 2125, g_z: 52, roll: -8.56669731837, pitch: 1.53355686786, yaw: -24.1699545574, addr: fc43, time[s]: 583.77, roll_offset: -8.56669731837, pitch_offset: 1.53355686786
g_x: 325, g_y: 2037, g_z: 13, roll: -6.7995489414, pitch: 3.03132525201, yaw: 60.4615107217, addr: dcb9, time[s]: 583.96, roll_offset: -6.7995489414, pitch_offset: 3.03132525201
g_x: 311, g_y: -24957, g_z: -2173, roll: -87.2651742702, pitch: -2.06420461648, yaw: -2.1855862561, addr: dcb2, time[s]: 584.06, roll_offset: -87.2651742702, pitch_offset: -2.06420461648
g_x: -1061, g_y: 1654, g_z: 801, roll: 32.9109694025, pitch: 21.4665486085, yaw: 45.2782187628, addr: db0e, time[s]: 585.9, roll_offset: 32.9109694025, pitch_offset: 21.4665486085
g_x: -645, g_y: 20780, g_z: -335, roll: 39.2526463676, pitch: -0.376811424628, yaw: 0.267788585426, addr: dca4, time[s]: 586.57, roll_offset: 39.2526463676, pitch_offset: -0.376811424628
g_x: 55, g_y: 5386, g_z: 439, roll: 3.29249055497, pitch: 0.104705686068, yaw: 0.0100089385324, addr: db4a, time[s]: 586.93, roll_offset: 3.29249055497, pitch_offset: 0.104705686068
g_x: -22, g_y: -1870, g_z: -215, roll: 2.97403490591, pitch: 0.0701050282905, yaw: -0.00517709871229, addr: dccb, time[s]: 587.89, roll_offset: 2.91897269559, pitch_offset: -0.0701030672791
g_x: 416, g_y: 2038, g_z: 289, roll: -11.4339868263, pitch: 8.1533342698, yaw: 87.9612798297, addr: db2f, time[s]: 587.93, roll_offset: -11.3847377473, pitch_offset: 8.2293918413
g_x: 324, g_y: 2134, g_z: 49, roll: -8.61037467057, pitch: 1.53578030787, yaw: -24.1223635068, addr: fc43, time[s]: 588.8, roll_offset: -8.56669731837, pitch_offset: 1.53355686786
g_x: 359, g_y: 2063, g_z: -311, roll: -8.99704363231, pitch: -6.52792469782, yaw: 61.6489595995, addr: dcb9, time[s]: 589.0, roll_offset: -6.7995489414, pitch_offset: 3.03132525201
g_x: 311, g_y: 31223, g_z: -2183, roll: -87.2256616259, pitch: -2.01640225691, yaw: -2.0755427305, addr: dcb2, time[s]: 589.09, roll_offset: -87.2651742702, pitch_offset: -2.06420461648
g_x: -1105, g_y: 1585, g_z: 903, roll: 32.8620618329, pitch: 21.5984310236, yaw: 45.380623789, addr: db0e, time[s]: 590.93, roll_offset: 32.9109694025, pitch_offset: 21.4665486085
g_x: -1530, g_y: -32539, g_z: 782, roll: 43.5802166597, pitch: -2.14838499045, yaw: -0.917154493376, addr: dca4, time[s]: 591.6, roll_offset: 39.2526463676, pitch_offset: -0.376811424628
g_x: 61, g_y: -30516, g_z: 442, roll: 3.18184020976, pitch: 0.125503738823, yaw: 0.0174845655712, addr: db4a, time[s]: 591.99, roll_offset: 3.29249055497, pitch_offset: 0.104705686068
g_x: -22, g_y: 24389, g_z: -213, roll: 2.96663055396, pitch: 0.0138035555135, yaw: 0.00735459545309, addr: dccb, time[s]: 592.92, roll_offset: 2.91897269559, pitch_offset: -0.0701030672791
g_x: 413, g_y: 2034, g_z: 300, roll: -11.4411841381, pitch: 8.13635783462, yaw: 87.9735810004, addr: db2f, time[s]: 592.97, roll_offset: -11.3847377473, pitch_offset: 8.2293918413
g_x: 326, g_y: 2129, g_z: 45, roll: -8.6028640238, pitch: 1.55261234859, yaw: -24.1305563188, addr: fc43, time[s]: 593.83, roll_offset: -8.56669731837, pitch_offset: 1.53355686786
g_x: 354, g_y: 2053, g_z: -306, roll: -9.55840748868, pitch: -6.7608217688, yaw: 61.0311348381, addr: dcb9, time[s]: 594.06, roll_offset: -6.7995489414, pitch_offset: 3.03132525201
g_x: 952, g_y: 321, g_z: 1397, roll: 13.2373966776, pitch: 60.3295446367, yaw: -79.7122554634, addr: dcb2, time[s]: 594.29, roll_offset: -87.2651742702, pitch_offset: -2.06420461648
g_x: -1062, g_y: 1668, g_z: 767, roll: 32.7322711632, pitch: 21.5453058122, yaw: 45.4552880019, addr: db0e, time[s]: 595.97, roll_offset: 32.9109694025, pitch_offset: 21.4665486085
g_x: -1532, g_y: 22144, g_z: 789, roll: 42.742278807, pitch: -2.12993494196, yaw: -0.828982994411, addr: dca4, time[s]: 596.63, roll_offset: 39.2526463676, pitch_offset: -0.376811424628
g_x: 69, g_y: 2193, g_z: 444, roll: 3.1533685662, pitch: 0.0981099511459, yaw: -0.00429878491005, addr: db4a, time[s]: 596.92, roll_offset: 3.29249055497, pitch_offset: 0.104705686068
g_x: 414, g_y: 2033, g_z: 291, roll: -11.4291800807, pitch: 8.13872961781, yaw: 87.9473394136, addr: db2f, time[s]: 597.99, roll_offset: -11.3847377473, pitch_offset: 8.2293918413
g_x: -20, g_y: 1150, g_z: -211, roll: 2.92741886482, pitch: -0.0907227146923, yaw: -0.00931502899884, addr: dccb, time[s]: 597.97, roll_offset: 2.91897269559, pitch_offset: -0.0701030672791
g_x: 322, g_y: 2132, g_z: 58, roll: -8.55120901065, pitch: 1.54440331498, yaw: -24.1198739029, addr: fc43, time[s]: 598.89, roll_offset: -8.56669731837, pitch_offset: 1.53355686786
g_x: 353, g_y: 2055, g_z: -302, roll: -9.70561172568, pitch: -7.00683792563, yaw: 60.9388999635, addr: dcb9, time[s]: 599.12, roll_offset: -6.7995489414, pitch_offset: 3.03132525201
g_x: -853, g_y: -2719, g_z: -3027, roll: -42.6874972748, pitch: 36.9204782755, yaw: -35.3557604838, addr: dcb2, time[s]: 599.22, roll_offset: -87.2651742702, pitch_offset: -2.06420461648
g_x: -1063, g_y: 1661, g_z: 784, roll: 32.7023105384, pitch: 21.5590464453, yaw: 45.4955519671, addr: db0e, time[s]: 600.99, roll_offset: 32.9109694025, pitch_offset: 21.4665486085
g_x: -1525, g_y: -7160, g_z: 798, roll: 42.260839263, pitch: -2.16631615801, yaw: -0.812351857308, addr: dca4, time[s]: 601.66, roll_offset: 39.2526463676, pitch_offset: -0.376811424628
g_x: 68, g_y: -26641, g_z: 445, roll: 3.08124176857, pitch: 0.167673300078, yaw: 0.0115089371201, addr: db4a, time[s]: 601.95, roll_offset: 3.29249055497, pitch_offset: 0.104705686068
g_x: 412, g_y: 2042, g_z: 298, roll: -11.4102186217, pitch: 8.13347890988, yaw: 87.9682739434, addr: db2f, time[s]: 603.03, roll_offset: -11.3847377473, pitch_offset: 8.2293918413
g_x: -20, g_y: -12547, g_z: -209, roll: 2.92061855773, pitch: -0.0767381625009, yaw: -0.00895311485045, addr: dccb, time[s]: 603.03, roll_offset: 2.91897269559, pitch_offset: -0.0701030672791
